,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
1667,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,2072308,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
1668,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,1013961,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
1669,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30T00:00:00Z,1362539,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30
1670,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30T00:00:00Z,1223347,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30
1672,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30T00:00:00Z,1682756,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30
1673,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30T00:00:00Z,484589,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30
1674,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-12-31T00:00:00Z,2520274,USD,Total Disbursement in Fourth Quarter of 2015,44002,International Development Association,2015,12,31
1676,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31T00:00:00Z,693914,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31
1677,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31T00:00:00Z,3136820,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31
1678,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,1335818,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
1679,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,973864,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
1681,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,1980070,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
1682,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-06-30T00:00:00Z,768786,USD,Total Disbursement in Second Quarter of 2017,44002,International Development Association,2017,6,30
1683,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,24331,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
1684,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,159604,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
1685,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,2038436,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
1686,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,32307,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
1687,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,15,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
1688,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-03-31T00:00:00Z,2957865,USD,Total Disbursement in First Quarter of 2018,44002,International Development Association,2018,3,31
1689,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-09-30T00:00:00Z,876421,USD,Total Disbursement in Third Quarter of 2020,44002,International Development Association,2020,9,30
1690,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-12-31T00:00:00Z,1566201,USD,Total Disbursement in Fourth Quarter of 2020,44002,International Development Association,2020,12,31
1691,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-12-31T00:00:00Z,963371,USD,Total Disbursement in Fourth Quarter of 2020,44002,International Development Association,2020,12,31
